fold,test_subject,test_subjects,val_subjects,best_epoch,best_train_acc,best_val_acc,best_val_loss,epoch_accuracy,epoch_precision,epoch_recall,epoch_f1,epoch_roc_auc
1,311,311,"421,368",159,0.7144686299615877,0.6658097505569458,0.6222971677780151,0.545,0.5279503105590062,0.85,0.6513409961685823,0.6698
2,315,315,"421,340",6,0.5373230373230373,0.5100502371788025,0.7117934226989746,0.5527638190954773,0.53125,0.8585858585858586,0.6563706563706564,0.657878787878788
3,340,340,"463,401",8,0.661188369152971,0.6233062148094177,0.6815982460975647,0.5,0.5,0.66,0.5689655172413793,0.4323
4,342,342,"999,368",63,0.6911764705882353,0.7084398865699768,0.5792525410652161,0.5561224489795918,0.5714285714285714,0.52,0.5445026178010471,0.5712500000000001
5,346,346,"311,444",5,0.6207340631036703,0.5649999976158142,0.682874321937561,0.5555555555555556,0.5151515151515151,0.9139784946236559,0.6589147286821705,0.668305171530978
6,368,368,"342,315",16,0.5271565495207667,0.4430379867553711,0.7611209154129028,0.6282722513089005,0.6494845360824743,0.63,0.6395939086294417,0.6639560439560439
7,401,401,"311,342",33,0.6330390920554855,0.5429292917251587,0.6759308576583862,0.5325443786982249,0.5,0.6329113924050633,0.5586592178770949,0.5731364275668074
8,421,421,"444,999",241,0.7907276239536382,0.6399999856948853,0.6406549215316772,0.5303030303030303,0.7142857142857143,0.10101010101010101,0.17699115044247787,0.6169778594021019
9,444,444,"342,999",1,0.4977491961414791,0.5227272510528564,0.6889585852622986,0.485,0.4857142857142857,0.51,0.4975609756097561,0.4924
10,463,463,"401,444",143,0.8053097345132744,0.6693766713142395,0.6462738513946533,0.505,0.5027322404371585,0.92,0.6501766784452296,0.5637000000000001
11,999,999,"401,311",412,0.7724399494310998,0.7046070694923401,0.5652387142181396,0.555,0.5846153846153846,0.38,0.46060606060606063,0.5732999999999999
